Symbol,Name
372,INL.F,Intel Corporation
373,BOO.L,boohoo group plc
374,CCC3.F,The Coca-Cola Company
375,CCC3.DE,The Coca-Cola Company
376,CHV.DE,Chevron Corporation
377,RDW.L,Redrow plc
378,CHV.F,Chevron Corporation
379,CTM.F,China Mobile Limited
380,TEM.L,Templeton Emerging Markets Investment Trust
381,BBYB.L,Balfour Beatty plc
382,WTAN.L,Witan Investment Trust
383,SYNC.L,Syncona Limited
384,NOT.F,Novartis AG
385,NOTA.F,Novartis AG
386,BOE.L,The Boeing Company
387,NOT.DE,Novartis AG
388,SOPH.L,Sophos Group plc
389,RHIM.L,RHI Magnesita N.V.
390,BBY.L,Balfour Beatty plc
391,TSFA.SG,Taiwan Semiconductor Manufacturing Company Limited
392,M4I.DE,Mastercard Incorporated
393,M4I.F,Mastercard Incorporated
394,TCAP.L,TP ICAP plc
395,CIS.F,"Cisco Systems, Inc."
396,CTMA.F,China Mobile Limited
397,CIS.DE,"Cisco Systems, Inc."
398,6MK.DE,"Merck & Co., Inc."
399,GNK.L,Greene King plc
400,ETO.L,Entertainment One Ltd.
401,MRK.PA,"Merck & Co., Inc."
402,QQ.L,QinetiQ Group plc
403,6MK.F,"Merck & Co., Inc."
404,MTRO.L,Metro Bank PLC
405,HDI.F,"The Home Depot, Inc."
406,BCA.L,BCA Marketplace plc
407,HDI.DE,"The Home Depot, Inc."
408,JLG.L,John Laing Group plc
409,TSFA.F,Taiwan Semiconductor Manufacturing Company Limited
410,PC6.F,PetroChina Company Limited
411,SSUN.SG,"Samsung Electronics Co., Ltd."
412,MNKS.L,Monks Investment Trust
413,PFC.L,Petrofac Limited
414,CLDN.L,Caledonia Investments Plc
415,INTU.L,intu properties plc
416,VVO.L,Vivo Energy plc
417,BCO.DE,The Boeing Company
418,BCO.F,The Boeing Company
419,TOMA.F,Toyota Motor Corporation
420,ORC.F,Oracle Corporation
421,GFTU.L,Grafton Group plc Grafton Units
422,MLC.L,Millennium & Copthorne Hotels plc
423,ORC.DE,Oracle Corporation
424,UDG.L,UDG Healthcare plc
425,WKP.L,Workspace Group plc
426,ASCL.L,Ascential plc
427,TOM.F,Toyota Motor Corporation
428,HBC1.DE,HSBC Holdings plc
429,PCT.L,Polar Capital Technology Trust
430,PZX.F,"Ping An Insurance (Group) Company of China, Ltd."
431,PLUS.L,Plus500 Ltd.
432,MONY.L,Moneysupermarket.com Group PLC
433,DC.L,Dixons Carphone plc
434,HBC1.F,HSBC Holdings plc
435,HSB.PA,HSBC Holdings plc
436,BYG.L,Big Yellow Group Plc
437,CTP2.F,Comcast Corporation
438,PAGE.L,PageGroup plc
439,GGAL.BA,Grupo Financiero Galicia S.A.
440,PFG.L,Provident Financial plc
441,0JFF.L,ISHARES S&P 500 ISHARES CORE S&
442,HBC2.F,HSBC Holdings plc
443,DRX.L,Drax Group plc
444,UKW.L,Greencoat UK Wind PLC
445,DPLM.L,Diploma PLC
446,WDP.F,The Walt Disney Company
447,WDP.DE,The Walt Disney Company
448,MRC.L,Mercantile Investment Trust
449,MYI.L,Murray International Trust Plc
450,CTY.L,City of London Ord
451,6D8.SG,DowDuPont Inc.
452,CWK.L,Cranswick plc
453,0R01.L,Citigroup Inc.
454,EK7.F,Agricultural Bank of China Limited
455,FGT.L,Finsbury Growth & Income Trust Plc
456,BOY.L,Bodycote plc
457,RWS.L,RWS Holdings plc
458,GNS.L,Genus plc
459,VSVS.L,Vesuvius plc
460,RSAB.L,RSA Insurance Group plc 7.375% CUM IRR PRF GBP1
461,WMH.L,William Hill plc
462,PEP.DE,"PepsiCo, Inc."
463,JUP.L,Jupiter Fund Management Plc
464,TALK.L,TalkTalk Telecom Group PLC
465,PEP.F,"PepsiCo, Inc."
466,TRIG.L,The Renewables Infrastructure Group Limited
467,AGR.L,Assura Plc
468,W8V.F,Bank of China Limited
469,CEY.L,Centamin plc
470,GRG.L,Greggs plc
471,0NXN.L,Unilever N.V.
472,MOHF.F,LVMH Moët Hennessy Louis Vuitton S.E.
473,UNI3.DE,Unilever N.V.
474,UNI3.F,Unilever N.V.
475,UNA.MI,Unilever N.V.
476,0VL8.L,The Toronto-Dominion Bank
477,CSP.L,Countryside Properties PLC
478,TRVC.DE,Citigroup Inc.
479,ERM.L,Euromoney Institutional Investor PLC
480,UNIN.F,Unilever N.V.
481,RAT.L,Rathbone Brothers Plc
482,LVMH.MI,LVMH Moët Hennessy Louis Vuitton S.E.
483,KOS.L,Kosmos Energy Ltd.
484,LMP.L,LondonMetric Property Plc
485,UNIN.DE,Unilever N.V.
486,0Y6X.L,Medtronic plc
487,GNC.L,Greencore Group plc
488,MOH.F,LVMH Moët Hennessy Louis Vuitton S.E.
489,MOH.DE,LVMH Moët Hennessy Louis Vuitton S.E.
490,MC.PA,LVMH Moët Hennessy Louis Vuitton S.E.
491,WWH.L,Worldwide Healthcare
492,SPD.L,Sports Direct International plc
493,PTEC.L,Playtech plc
494,0RJI.L,Anheuser-Busch InBev SA/NV
495,SIR.L,Secure Income REIT Plc
496,AMGO.L,Amigo Holdings PLC
497,GLO.L,ContourGlobal plc
498,TOTA.F,TOTAL S.A.
499,UNVA.F,Unilever PLC
500,SYNT.L,Synthomer plc
501,HSTG.L,Hastings Group Holdings plc
502,TOTB.F,TOTAL S.A.
503,TTA.L,TOTAL S.A.
