,Symbol,Name
2055,BHARTIARTL.NS,Bharti Airtel Limited
2056,1288.HK,Agricultural Bank of China Limited
2057,NTPC.NS,NTPC Limited
2058,NTPC.BO,NTPC Limited
2059,3988.HK,Bank of China Limited
2060,HINDZINC.NS,Hindustan Zinc Limited
2061,HINDZINC.BO,Hindustan Zinc Limited
2062,601318.SS,"Ping An Insurance (Group) Company of China, Ltd."
2063,601288.SS,Agricultural Bank of China Limited
2064,ULTRACEMCO.NS,UltraTech Cement Limited
2065,ULTRACEMCO.BO,UltraTech Cement Limited
2066,NESTLEIND.BO,Nestlé India Limited
2067,NESTLEIND.NS,Nestlé India Limited
2068,601988.SS,Bank of China Limited
2069,6505.TW,Formosa Petrochemical Corporation
2070,POWERGRID.NS,Power Grid Corporation of India Limited
2071,POWERGRID.BO,Power Grid Corporation of India Limited
2072,BAJAJFINSV.NS,Bajaj Finserv Limited
2073,BAJAJFINSV.BO,Bajaj Finserv Limited
2074,SUNPHARMA.BO,Sun Pharmaceutical Industries Limited
2075,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
2076,2317.TW,"Hon Hai Precision Industry Co., Ltd."
2077,DMART.BO,Avenue Supermarts Limited
2078,DMART.NS,Avenue Supermarts Limited
2079,INDUSINDBK.BO,IndusInd Bank Limited
2080,INDUSINDBK.NS,IndusInd Bank Limited
2081,AOT-R.BK,Airports of Thailand Public Company Limited
2082,AOT.BK,Airports of Thailand Public Company Limited
2083,M&M.NS,Mahindra & Mahindra Limited
2084,M&M.BO,Mahindra & Mahindra Limited
2085,GODREJCP.NS,Godrej Consumer Products Limited
2086,GODREJCP.BO,Godrej Consumer Products Limited
2087,2412.TW,"Chunghwa Telecom Co., Ltd."
2088,GAIL.NS,GAIL (India) Limited
2089,GAIL.BO,GAIL (India) Limited
2090,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
2091,ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
2092,BAJAJ-AUTO.BO,Bajaj Auto Limited
2093,BAJAJ-AUTO.NS,Bajaj Auto Limited
2094,BPCL.BO,Bharat Petroleum Corporation Limited
2095,BPCL.NS,Bharat Petroleum Corporation Limited
2096,TITAN.BO,Titan Company Limited
2097,HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited
2098,TITAN.NS,Titan Company Limited
2099,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
2100,TCS.NS,Tata Consultancy Services Limited
2101,TCS.BO,Tata Consultancy Services Limited
2102,RELIANCE.BO,Reliance Industries Limited
2103,RELIANCE.NS,Reliance Industries Limited
2104,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
2105,HDFCBANK.BO,HDFC Bank Limited
2106,HDFCBANK.NS,HDFC Bank Limited
2107,HINDUNILVR.NS,Hindustan Unilever Limited
2108,HINDUNILVR.BO,Hindustan Unilever Limited
2109,ITC.NS,ITC Limited
2110,ITC.BO,ITC Limited
